qlbase_method,usage_type,metric_type,metric_display_name,category,notes
get_conditional_count_expression,metric_specific,future_timestamp_rate,% in future,Validity,
get_conditional_count_expression,metric_specific,unix_zero_count,Unix zero (count),Validity,
get_conditional_count_expression,metric_specific,unix_zero_rate,% unix zero,Validity,
get_conditional_count_expression,metric_specific,text_null_keyword_count,"""none"" or ""null"" (count)",Completeness,
get_conditional_count_expression,metric_specific,text_null_keyword_rate,"""none"" or ""null"" (%)",Completeness,
get_conditional_count_expression,metric_specific,array_null_rate,Array null rate,Completeness,
get_isnan_expression,metric_specific,nan_count,NaN (count),Validity,
get_isnan_expression,metric_specific,nan_rate,% NaN,Validity,
get_is_empty_string_expression,metric_specific,empty_string_count,Empty (count),Completeness,
get_is_empty_string_expression,metric_specific,empty_string_rate,% empty,Completeness,
get_boolean_match_expression,metric_specific,true_count,True (count),Validity,
get_boolean_match_expression,metric_specific,true_rate,% true,Validity,
get_boolean_match_expression,metric_specific,false_count,False (count),Validity,
get_boolean_match_expression,metric_specific,false_rate,% false,Validity,
get_is_timestamp_expression,metric_specific,text_timestamp_count,Timestamp (count),Validity,
get_is_timestamp_expression,metric_specific,text_timestamp_rate,% timestamp,Validity,
get_not_is_timestamp_expression,metric_specific,text_not_timestamp_count,Not timestamp (count),Validity,
get_epoch_seconds_expression,metric_specific,past_timestamp_count,In past (count),Validity,
get_epoch_seconds_expression,metric_specific,past_timestamp_rate,% in past,Validity,
